MakeID
CHEVROLET
NISSAN
TOYOTA
FORD
BENTLEY
CHANGAN
MERCEDES
HONDA
PORSCHE
AUDI
BMW
CHRYSLER
RENAULT
DODGE
HYUNDAI
KIA
LEXUS
MITSUBISHI
RANGE ROVER
HUMMER
VOLKSWAGEN
GMC
JAGUAR
JEEP
Unkown Model
OPEL
MAZDA
LAMBORGHINI
BAW
VOLVO
INFINITI
MINI
MASERATI
SUZUKI
LINCOLN
FERRARI
PEUGEOT
CADILLAC
TESLA
TATA
ISUZU
IVECO
HINO
MAN
FOTON
MG
MANITOU
ROLLS ROYS
SUBARU
SCANIA
SEAT
PONTIAC
DAEWOO
JCB
FIAT
HIGER
WILDCAT
.JMC
LAND ROVER
MINI COOPER
ASTON MARTIN
MAXUS
BEN TLEY
LINCOLIN
MACLAREN
DAIHATSU
INFINITI 
ALFA ROMEO
SKODA
GEELY
KING
JAC
APRILIA
CITROEN
LUXGEN
HAVAL
